Namespace(batch_size=64, data_dir='data/', dropout_rate=0.15, emb_dim=300, epoch_num=100, from_vocab='data/vocab_20000', from_vocab_size=20000, gpu_device='1', latent_dim=64, learning_rate=1, learning_rate_decay_factor=0.5, max_gradient_norm=3.0, max_train_data_size=0, model_dir='model/', num_heads=8, num_layers=6, num_units=512, out_dir='output/', output_dir='output/tfm/', test_data='test', to_vocab='data/vocab_20000', to_vocab_size=20000, train_data='training', train_dir='model/t-cvae/', valid_data='dev')
 init embedding finished
19833
(20000, 300)
Vocab load over.
2020-12-23 11:37:19.224587: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
2020-12-23 11:37:19.392717: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:1a:00.0
totalMemory: 10.76GiB freeMemory: 10.60GiB
2020-12-23 11:37:19.393014: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2020-12-23 11:37:19.600736: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-12-23 11:37:19.600758: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2020-12-23 11:37:19.600761: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2020-12-23 11:37:19.600836: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10232 MB memory) -> physical GPU (device: 0, name: GeForce RTX 2080 Ti, pci bus id: 0000:1a:00.0, compute capability: 7.5)
2020-12-23 11:37:19.602564: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2020-12-23 11:37:19.602582: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-12-23 11:37:19.602584: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2020-12-23 11:37:19.602586: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2020-12-23 11:37:19.602623: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10232 MB memory) -> physical GPU (device: 0, name: GeForce RTX 2080 Ti, pci bus id: 0000:1a:00.0, compute capability: 7.5)
2020-12-23 11:37:19.605876: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2020-12-23 11:37:19.605916: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-12-23 11:37:19.605925: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2020-12-23 11:37:19.605931: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2020-12-23 11:37:19.606010: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10232 MB memory) -> physical GPU (device: 0, name: GeForce RTX 2080 Ti, pci bus id: 0000:1a:00.0, compute capability: 7.5)
Model create over.
  reading data line 0
78529
21
  reading data line 0
9816
21
  reading data line 0
9817
20
global step 100   step-time 0.69s  loss 77.767 ppl 1148.61  disc 0.269 gen -0.187 gan_ae -0.156
global step 200   step-time 0.60s  loss 65.596 ppl 400.96  disc 0.195 gen -0.005 gan_ae -0.171
global step 300   step-time 0.60s  loss 65.540 ppl 388.25  disc 0.149 gen -0.042 gan_ae -0.113
global step 400   step-time 0.61s  loss 65.752 ppl 391.96  disc 0.111 gen 0.008 gan_ae -0.099
global step 500   step-time 0.61s  loss 65.596 ppl 390.11  disc 0.103 gen -0.013 gan_ae -0.081
global step 600   step-time 0.61s  loss 64.889 ppl 380.83  disc 0.147 gen -0.127 gan_ae -0.070
global step 700   step-time 0.61s  loss 65.283 ppl 385.88  disc 0.110 gen -0.019 gan_ae -0.084
global step 800   step-time 0.61s  loss 64.460 ppl 354.92  disc 0.088 gen -0.063 gan_ae -0.043
global step 900   step-time 0.61s  loss 62.768 ppl 317.48  disc 0.102 gen -0.023 gan_ae -0.075
global step 1000   step-time 0.61s  loss 60.776 ppl 256.83  disc 0.095 gen -0.033 gan_ae -0.065
global step 1100   step-time 0.61s  loss 59.491 ppl 226.24  disc 0.078 gen -0.027 gan_ae -0.049
global step 1200   step-time 0.61s  loss 58.443 ppl 210.93  disc 0.076 gen -0.046 gan_ae -0.040
global step 1300   step-time 0.61s  loss 57.628 ppl 191.73  disc 0.069 gen -0.044 gan_ae -0.030
global step 1400   step-time 0.61s  loss 56.658 ppl 178.69  disc 0.048 gen -0.016 gan_ae -0.019
global step 1500   step-time 0.61s  loss 56.369 ppl 169.10  disc 0.071 gen -0.041 gan_ae -0.034
global step 1600   step-time 0.61s  loss 55.538 ppl 159.99  disc 0.049 gen -0.007 gan_ae -0.018
global step 1700   step-time 0.61s  loss 54.841 ppl 151.92  disc 0.042 gen -0.017 gan_ae -0.011
global step 1800   step-time 0.61s  loss 54.599 ppl 145.23  disc 0.046 gen -0.025 gan_ae -0.014
global step 1900   step-time 0.61s  loss 54.509 ppl 144.02  disc 0.042 gen -0.018 gan_ae -0.011
global step 2000   step-time 0.61s  loss 53.831 ppl 138.39  disc 0.056 gen -0.036 gan_ae -0.020
global step 2100   step-time 0.61s  loss 54.108 ppl 135.65  disc 0.049 gen -0.037 gan_ae -0.009
global step 2200   step-time 0.61s  loss 53.432 ppl 129.66  disc 0.034 gen -0.005 gan_ae -0.010
global step 2300   step-time 0.61s  loss 52.908 ppl 126.17  disc 0.039 gen -0.028 gan_ae 0.001
global step 2400   step-time 0.61s  loss 53.423 ppl 125.90  disc 0.044 gen -0.031 gan_ae -0.007
global step 2500   step-time 0.61s  loss 52.751 ppl 124.00  disc 0.038 gen -0.018 gan_ae -0.005
global step 2600   step-time 0.61s  loss 52.545 ppl 120.06  disc 0.040 gen -0.029 gan_ae -0.001
global step 2700   step-time 0.61s  loss 52.135 ppl 117.82  disc 0.038 gen -0.016 gan_ae -0.006
global step 2800   step-time 0.61s  loss 52.480 ppl 117.50  disc 0.041 gen -0.024 gan_ae -0.007
global step 2900   step-time 0.61s  loss 51.846 ppl 113.76  disc 0.041 gen -0.026 gan_ae -0.006
global step 3000   step-time 0.61s  loss 51.551 ppl 113.01  disc 0.036 gen -0.014 gan_ae -0.005
load eval model.
eval  ppl 107.62
global step 3100   step-time 0.61s  loss 51.405 ppl 111.21  disc 0.036 gen -0.019 gan_ae 0.000
global step 3200   step-time 0.61s  loss 50.989 ppl 105.53  disc 0.036 gen -0.020 gan_ae -0.001
global step 3300   step-time 0.61s  loss 51.376 ppl 106.74  disc 0.035 gen -0.014 gan_ae -0.002
