Namespace(batch_size=64, data_dir='data/', dropout_rate=0.15, emb_dim=300, epoch_num=100, from_vocab='data/vocab_20000', from_vocab_size=20000, gpu_device='1', latent_dim=64, learning_rate=1, learning_rate_decay_factor=0.5, max_gradient_norm=3.0, max_train_data_size=0, model_dir='model/', num_heads=8, num_layers=6, num_units=512, out_dir='output/', output_dir='output/tfm/', test_data='test', to_vocab='data/vocab_20000', to_vocab_size=20000, train_data='training', train_dir='model/t-cvae/', valid_data='dev')
 init embedding finished
19833
(20000, 300)
Vocab load over.
2020-12-28 11:35:05.204612: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 AVX512F FMA
2020-12-28 11:35:05.390369: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:1a:00.0
totalMemory: 10.76GiB freeMemory: 10.60GiB
2020-12-28 11:35:05.390407: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2020-12-28 11:35:05.596801: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-12-28 11:35:05.596822: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2020-12-28 11:35:05.596826: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2020-12-28 11:35:05.596900: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10232 MB memory) -> physical GPU (device: 0, name: GeForce RTX 2080 Ti, pci bus id: 0000:1a:00.0, compute capability: 7.5)
2020-12-28 11:35:05.598530: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2020-12-28 11:35:05.598572: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-12-28 11:35:05.598580: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2020-12-28 11:35:05.598586: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2020-12-28 11:35:05.598665: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10232 MB memory) -> physical GPU (device: 0, name: GeForce RTX 2080 Ti, pci bus id: 0000:1a:00.0, compute capability: 7.5)
2020-12-28 11:35:05.599378: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2020-12-28 11:35:05.599419: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2020-12-28 11:35:05.599427: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2020-12-28 11:35:05.599434: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2020-12-28 11:35:05.599517: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10232 MB memory) -> physical GPU (device: 0, name: GeForce RTX 2080 Ti, pci bus id: 0000:1a:00.0, compute capability: 7.5)
Model create over.
  reading data line 0
78529
21
  reading data line 0
9816
21
  reading data line 0
9817
20
global step 100   step-time 0.69s  loss 77.826 ppl 1153.66  disc 0.234 gen -0.167 gan_ae -0.132
global step 200   step-time 0.60s  loss 66.258 ppl 401.41  disc 0.273 gen -0.233 gan_ae -0.143
global step 300   step-time 0.61s  loss 65.231 ppl 386.55  disc 0.121 gen 0.004 gan_ae -0.107
global step 400   step-time 0.61s  loss 65.559 ppl 384.53  disc 0.123 gen -0.089 gan_ae -0.063
global step 500   step-time 0.61s  loss 63.515 ppl 339.06  disc 0.085 gen 0.004 gan_ae -0.067
global step 600   step-time 0.61s  loss 61.282 ppl 261.90  disc 0.095 gen -0.031 gan_ae -0.065
global step 700   step-time 0.61s  loss 60.051 ppl 235.79  disc 0.088 gen -0.007 gan_ae -0.067
global step 800   step-time 0.61s  loss 58.622 ppl 212.56  disc 0.091 gen -0.034 gan_ae -0.060
global step 900   step-time 0.61s  loss 58.291 ppl 201.19  disc 0.072 gen -0.009 gan_ae -0.053
global step 1000   step-time 0.61s  loss 56.984 ppl 184.56  disc 0.063 gen -0.033 gan_ae -0.031
global step 1100   step-time 0.61s  loss 56.390 ppl 171.63  disc 0.049 gen -0.003 gan_ae -0.028
global step 1200   step-time 0.61s  loss 55.751 ppl 160.23  disc 0.056 gen -0.015 gan_ae -0.030
global step 1300   step-time 0.61s  loss 55.158 ppl 151.13  disc 0.054 gen -0.029 gan_ae -0.022
global step 1400   step-time 0.61s  loss 54.202 ppl 139.30  disc 0.053 gen -0.038 gan_ae -0.017
global step 1500   step-time 0.61s  loss 53.945 ppl 132.35  disc 0.045 gen -0.018 gan_ae -0.015
global step 1600   step-time 0.61s  loss 53.087 ppl 128.24  disc 0.054 gen -0.042 gan_ae -0.015
global step 1700   step-time 0.61s  loss 52.793 ppl 123.01  disc 0.041 gen -0.014 gan_ae -0.012
global step 1800   step-time 0.61s  loss 52.378 ppl 120.02  disc 0.047 gen -0.030 gan_ae -0.010
global step 1900   step-time 0.61s  loss 52.087 ppl 116.50  disc 0.054 gen -0.032 gan_ae -0.019
global step 2000   step-time 0.61s  loss 51.995 ppl 113.92  disc 0.035 gen -0.006 gan_ae -0.007
global step 2100   step-time 0.61s  loss 51.807 ppl 111.13  disc 0.052 gen -0.031 gan_ae -0.016
global step 2200   step-time 0.61s  loss 51.245 ppl 108.70  disc 0.038 gen -0.000 gan_ae -0.015
global step 2300   step-time 0.61s  loss 51.137 ppl 105.09  disc 0.042 gen -0.028 gan_ae -0.008
global step 2400   step-time 0.61s  loss 50.391 ppl 102.00  disc 0.037 gen -0.023 gan_ae -0.002
global step 2500   step-time 0.61s  loss 50.866 ppl 103.42  disc 0.036 gen -0.019 gan_ae 0.000
global step 2600   step-time 0.61s  loss 50.471 ppl 99.19  disc 0.037 gen -0.025 gan_ae -0.000
global step 2700   step-time 0.61s  loss 49.902 ppl 97.45  disc 0.034 gen -0.012 gan_ae -0.001
global step 2800   step-time 0.61s  loss 50.088 ppl 94.43  disc 0.038 gen -0.027 gan_ae 0.000
global step 2900   step-time 0.61s  loss 49.711 ppl 94.87  disc 0.037 gen -0.019 gan_ae -0.001
global step 3000   step-time 0.61s  loss 49.567 ppl 93.00  disc 0.034 gen -0.006 gan_ae -0.005
load eval model.
eval  ppl 89.93
global step 3100   step-time 0.61s  loss 50.013 ppl 93.36  disc 0.037 gen -0.012 gan_ae -0.007
global step 3200   step-time 0.61s  loss 49.885 ppl 93.03  disc 0.033 gen -0.004 gan_ae -0.007
global step 3300   step-time 0.61s  loss 49.575 ppl 92.20  disc 0.035 gen -0.014 gan_ae -0.002
